Day,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
03-23-2020,,,,Portugal,2020-03-23 23:19:21,39.3999,-8.2245,2060,23,14,2023,Portugal
03-23-2020,,,,Qatar,2020-03-23 23:19:21,25.3548,51.1839,501,0,33,468,Qatar
03-23-2020,,,,Romania,2020-03-23 23:19:21,45.9432,24.9668,576,7,73,496,Romania
03-23-2020,,,,Russia,2020-03-23 23:19:21,61.52401,105.31875600000001,438,1,17,420,Russia
03-23-2020,,,,Rwanda,2020-03-23 23:19:21,-1.9403,29.8739,36,0,0,36,Rwanda
03-23-2020,,,,Saint Lucia,2020-03-23 23:19:21,13.9094,-60.9789,3,0,0,3,Saint Lucia
03-23-2020,,,,Saint Vincent and the Grenadines,2020-03-23 23:19:21,12.9843,-61.2872,1,0,0,1,Saint Vincent and the Grenadines
03-23-2020,,,,San Marino,2020-03-23 23:19:21,43.9424,12.4578,187,20,4,163,San Marino
03-23-2020,,,,Saudi Arabia,2020-03-23 23:19:21,23.885942,45.079162,562,0,19,543,Saudi Arabia
03-23-2020,,,,Senegal,2020-03-23 23:19:21,14.4974,-14.4524,79,0,8,71,Senegal
03-23-2020,,,,Serbia,2020-03-23 23:19:21,44.0165,21.0059,249,3,3,243,Serbia
03-23-2020,,,,Seychelles,2020-03-23 23:19:21,-4.6796,55.492,7,0,0,7,Seychelles
03-23-2020,,,,Singapore,2020-03-23 23:19:21,1.2833,103.8333,509,2,152,355,Singapore
03-23-2020,,,,Slovakia,2020-03-23 23:19:21,48.669,19.699,186,0,7,179,Slovakia
03-23-2020,,,,Slovenia,2020-03-23 23:19:21,46.1512,14.9955,442,3,0,439,Slovenia
03-23-2020,,,,Somalia,2020-03-23 23:19:21,5.152149,46.199616,1,0,0,1,Somalia
03-23-2020,,,,South Africa,2020-03-23 23:19:21,-30.5595,22.9375,402,0,4,398,South Africa
03-23-2020,,,,Spain,2020-03-23 23:19:21,40.463667,-3.7492199999999998,35136,2311,3355,29470,Spain
03-23-2020,,,,Sri Lanka,2020-03-23 23:19:21,7.873054,80.77179699999998,97,0,2,95,Sri Lanka
03-23-2020,,,,Sudan,2020-03-23 23:19:21,12.8628,30.2176,2,1,0,1,Sudan
03-23-2020,,,,Suriname,2020-03-23 23:19:21,3.9193,-56.0278,5,0,0,5,Suriname
03-23-2020,,,,Sweden,2020-03-23 23:19:21,60.128161,18.643501,2046,25,16,2005,Sweden
03-23-2020,,,,Switzerland,2020-03-23 23:19:21,46.8182,8.2275,8795,120,131,8544,Switzerland
03-23-2020,,,,Syria,2020-03-23 23:19:21,34.802075,38.99681500000001,1,0,0,1,Syria
03-23-2020,,,,Taiwan*,2020-03-23 06:45:13,23.7,121.0,195,2,28,165,Taiwan*
03-23-2020,,,,Tanzania,2020-03-23 23:19:21,-6.369028,34.888822,12,0,0,12,Tanzania
03-23-2020,,,,Thailand,2020-03-23 23:19:21,15.870032,100.992541,721,1,52,668,Thailand
03-23-2020,,,,Timor-Leste,2020-03-23 23:19:21,-8.874217,125.727539,1,0,0,1,Timor-Leste
03-23-2020,,,,Togo,2020-03-23 23:19:21,8.6195,0.8248,18,0,0,18,Togo
03-23-2020,,,,Trinidad and Tobago,2020-03-23 23:19:21,10.6918,-61.2225,51,0,0,51,Trinidad and Tobago
03-23-2020,,,,Tunisia,2020-03-23 23:19:21,33.886917,9.537499,89,3,1,85,Tunisia
03-23-2020,,,,Turkey,2020-03-23 23:19:21,38.9637,35.2433,1529,37,0,1492,Turkey
03-23-2020,,,,Uganda,2020-03-23 23:19:21,1.373333,32.290275,9,0,0,9,Uganda
03-23-2020,,,,Ukraine,2020-03-23 23:19:21,48.3794,31.1656,73,3,1,69,Ukraine
03-23-2020,,,,United Arab Emirates,2020-03-23 23:19:21,23.424076,53.847818000000004,198,2,41,155,United Arab Emirates
03-23-2020,,,,United Kingdom,2020-03-23 23:19:21,55.3781,-3.4360000000000004,6650,335,135,6180,United Kingdom
03-23-2020,,,,Uruguay,2020-03-23 23:19:21,-32.5228,-55.7658,158,0,0,158,Uruguay
