FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,,Mongolia,2020-04-01 21:58:34,46.8625,103.8467,14,0,2,12,Mongolia
,,,Montenegro,2020-04-01 21:58:34,42.708678000000006,19.37439,123,2,0,121,Montenegro
,,,Morocco,2020-04-01 21:58:34,31.7917,-7.0926,654,39,29,586,Morocco
,,,Mozambique,2020-04-01 21:58:34,-18.665695,35.529562,10,0,0,10,Mozambique
,,,Namibia,2020-04-01 21:58:34,-22.9576,18.4904,14,0,2,12,Namibia
,,,Nepal,2020-04-01 21:58:34,28.1667,84.25,5,0,1,4,Nepal
,,,Netherlands,2020-04-01 21:58:34,52.1326,5.2913,13614,1173,250,12191,Netherlands
,,,New Zealand,2020-04-01 21:58:34,-40.9006,174.886,708,1,83,624,New Zealand
,,,Nicaragua,2020-04-01 21:58:34,12.865416,-85.207229,5,1,0,4,Nicaragua
,,,Niger,2020-04-01 21:58:34,17.607789,8.081666,74,5,0,69,Niger
,,,Nigeria,2020-04-01 21:58:34,9.082,8.6753,174,2,9,163,Nigeria
,,,North Macedonia,2020-04-01 21:58:34,41.6086,21.7453,354,11,17,326,North Macedonia
,,,Norway,2020-04-01 21:58:34,60.472,8.4689,4863,44,13,4806,Norway
,,,Oman,2020-04-01 21:58:34,21.512583,55.92325500000001,210,1,34,175,Oman
,,,Pakistan,2020-04-01 21:58:34,30.3753,69.3451,2118,27,94,1997,Pakistan
,,,Panama,2020-04-01 21:58:34,8.538,-80.7821,1181,30,9,1142,Panama
,,,Papua New Guinea,2020-04-01 21:58:34,-6.314993,143.95555,1,0,0,1,Papua New Guinea
,,,Paraguay,2020-04-01 21:58:34,-23.4425,-58.4438,69,3,1,65,Paraguay
,,,Peru,2020-04-01 21:58:34,-9.19,-75.0152,1323,38,394,891,Peru
,,,Philippines,2020-04-01 21:58:34,12.879721,121.77401699999999,2311,96,50,2165,Philippines
,,,Poland,2020-04-01 21:58:34,51.9194,19.1451,2554,43,47,2464,Poland
,,,Portugal,2020-04-01 21:58:34,39.3999,-8.2245,8251,187,43,8021,Portugal
,,,Qatar,2020-04-01 21:58:34,25.3548,51.1839,835,2,71,762,Qatar
,,,Romania,2020-04-01 21:58:34,45.9432,24.9668,2460,92,252,2116,Romania
,,,Russia,2020-04-01 21:58:34,61.52401,105.31875600000001,2777,24,190,2563,Russia
,,,Rwanda,2020-04-01 21:58:34,-1.9403,29.8739,82,0,0,82,Rwanda
,,,Saint Kitts and Nevis,2020-04-01 21:58:34,17.357822,-62.782998,8,0,0,8,Saint Kitts and Nevis
,,,Saint Lucia,2020-04-01 21:58:34,13.9094,-60.9789,13,0,1,12,Saint Lucia
,,,Saint Vincent and the Grenadines,2020-04-01 21:58:34,12.9843,-61.2872,1,0,1,0,Saint Vincent and the Grenadines
,,,San Marino,2020-04-01 21:58:34,43.9424,12.4578,236,26,13,197,San Marino
,,,Saudi Arabia,2020-04-01 21:58:34,23.885942,45.079162,1720,16,264,1440,Saudi Arabia
,,,Senegal,2020-04-01 21:58:34,14.4974,-14.4524,190,1,45,144,Senegal
,,,Serbia,2020-04-01 21:58:34,44.0165,21.0059,1060,28,0,1032,Serbia
,,,Seychelles,2020-04-01 21:58:34,-4.6796,55.492,10,0,0,10,Seychelles
,,,Sierra Leone,2020-04-01 21:58:34,8.460555000000001,-11.779889,2,0,0,2,Sierra Leone
,,,Singapore,2020-04-01 21:58:34,1.2833,103.8333,1000,3,245,752,Singapore
,,,Slovakia,2020-04-01 21:58:34,48.669,19.699,400,1,3,396,Slovakia
,,,Slovenia,2020-04-01 21:58:34,46.1512,14.9955,841,15,10,816,Slovenia
,,,Somalia,2020-04-01 21:58:34,5.152149,46.199616,5,0,1,4,Somalia
,,,South Africa,2020-04-01 21:58:34,-30.5595,22.9375,1380,5,50,1325,South Africa
,,,Spain,2020-04-01 21:58:34,40.463667,-3.7492199999999998,104118,9387,22647,72084,Spain
,,,Sri Lanka,2020-04-01 21:58:34,7.873054,80.77179699999998,146,3,21,122,Sri Lanka
,,,Sudan,2020-04-01 21:58:34,12.8628,30.2176,7,2,2,3,Sudan
,,,Suriname,2020-04-01 21:58:34,3.9193,-56.0278,10,0,0,10,Suriname
,,,Sweden,2020-04-01 21:58:34,60.128161,18.643501,4947,239,103,4605,Sweden
,,,Switzerland,2020-04-01 21:58:34,46.8182,8.2275,17768,488,2967,14313,Switzerland
,,,Syria,2020-04-01 21:58:34,34.802075,38.99681500000001,10,2,0,8,Syria
,,,Taiwan*,2020-04-01 10:56:33,23.7,121.0,329,5,39,285,Taiwan*
,,,Tanzania,2020-04-01 21:58:34,-6.369028,34.888822,20,1,1,18,Tanzania
,,,Thailand,2020-04-01 21:58:34,15.870032,100.992541,1771,12,505,1254,Thailand
,,,Timor-Leste,2020-04-01 21:58:34,-8.874217,125.727539,1,0,0,1,Timor-Leste
,,,Togo,2020-04-01 21:58:34,8.6195,0.8248,36,2,10,24,Togo
,,,Trinidad and Tobago,2020-04-01 21:58:34,10.6918,-61.2225,90,5,1,84,Trinidad and Tobago
,,,Tunisia,2020-04-01 21:58:34,33.886917,9.537499,423,12,5,406,Tunisia
,,,Turkey,2020-04-01 21:58:34,38.9637,35.2433,15679,277,333,15069,Turkey
,,,Uganda,2020-04-01 21:58:34,1.373333,32.290275,44,0,0,44,Uganda
,,,Ukraine,2020-04-01 21:58:34,48.3794,31.1656,794,20,13,761,Ukraine
,,,United Arab Emirates,2020-04-01 21:58:34,23.424076,53.847818000000004,814,8,61,745,United Arab Emirates
